Epoch,Loss,Wins_Against_Random,Draws_Against_Random,Losses_Against_Random,STS Score,STS Percentage
1,4.309987997974486,12,84,4,2070,13.8
2,3.2934993852082144,24,74,2,2667,17.78
3,2.9662215705999415,35,65,0,2972,19.813333333333333
